B16001_001E,Total
B16001_002E,Speak only English
B16001_003E,Spanish or Spanish Creole
B16001_004E,Speak English "very well"
B16001_005E,Speak English less than "very well"
B16001_006E,French (incl. Patois, Cajun)
B16001_007E,Speak English "very well"
B16001_008E,Speak English less than "very well"
B16001_009E,French Creole
B16001_010E,Speak English "very well"
B16001_011E,Speak English less than "very well"
B16001_012E,Italian
B16001_013E,Speak English "very well"
B16001_014E,Speak English less than "very well"
B16001_015E,Portuguese or Portuguese Creole
B16001_016E,Speak English "very well"
B16001_017E,Speak English less than "very well"
B16001_018E,German
B16001_019E,Speak English "very well"
B16001_020E,Speak English less than "very well"
B16001_021E,Yiddish
B16001_022E,Speak English "very well"
B16001_023E,Speak English less than "very well"
B16001_024E,Other West Germanic languages
B16001_025E,Speak English "very well"
B16001_026E,Speak English less than "very well"
B16001_027E,Scandinavian languages
B16001_028E,Speak English "very well"
B16001_029E,Speak English less than "very well"
B16001_030E,Greek
B16001_031E,Speak English "very well"
B16001_032E,Speak English less than "very well"
B16001_033E,Russian
B16001_034E,Speak English "very well"
B16001_035E,Speak English less than "very well"
B16001_036E,Polish
B16001_037E,Speak English "very well"
B16001_038E,Speak English less than "very well"
B16001_039E,Serbo-Croatian
B16001_040E,Speak English "very well"
B16001_041E,Speak English less than "very well"
B16001_042E,Other Slavic languages
B16001_043E,Speak English "very well"
B16001_044E,Speak English less than "very well"
B16001_045E,Armenian
B16001_046E,Speak English "very well"
B16001_047E,Speak English less than "very well"
B16001_048E,Persian
B16001_049E,Speak English "very well"
B16001_050E,Speak English less than "very well"
B16001_051E,Gujarati
B16001_052E,Speak English "very well"
B16001_053E,Speak English less than "very well"
B16001_054E,Hindi
B16001_055E,Speak English "very well"
B16001_056E,Speak English less than "very well"
B16001_057E,Urdu
B16001_058E,Speak English "very well"
B16001_059E,Speak English less than "very well"
B16001_060E,Other Indic languages
B16001_061E,Speak English "very well"
B16001_062E,Speak English less than "very well"
B16001_063E,Other Indo-European languages
B16001_064E,Speak English "very well"
B16001_065E,Speak English less than "very well"
B16001_066E,Chinese
B16001_067E,Speak English "very well"
B16001_068E,Speak English less than "very well"
B16001_069E,Japanese
B16001_070E,Speak English "very well"
B16001_071E,Speak English less than "very well"
B16001_072E,Korean
B16001_073E,Speak English "very well"
B16001_074E,Speak English less than "very well"
B16001_075E,Mon-Khmer, Cambodian
B16001_076E,Speak English "very well"
B16001_077E,Speak English less than "very well"
B16001_078E,Hmong
B16001_079E,Speak English "very well"
B16001_080E,Speak English less than "very well"
B16001_081E,Thai
B16001_082E,Speak English "very well"
B16001_083E,Speak English less than "very well"
B16001_084E,Laotian
B16001_085E,Speak English "very well"
B16001_086E,Speak English less than "very well"
B16001_087E,Vietnamese
B16001_088E,Speak English "very well"
B16001_089E,Speak English less than "very well"
B16001_090E,Other Asian languages
B16001_091E,Speak English "very well"
B16001_092E,Speak English less than "very well"
B16001_093E,Tagalog
B16001_094E,Speak English "very well"
B16001_095E,Speak English less than "very well"
B16001_096E,Other Pacific Island languages
B16001_097E,Speak English "very well"
B16001_098E,Speak English less than "very well"
B16001_099E,Navajo
B16001_100E,Speak English "very well"
B16001_101E,Speak English less than "very well"
B16001_102E,Other Native North American languages
B16001_103E,Speak English "very well"
B16001_104E,Speak English less than "very well"
B16001_105E,Hungarian
B16001_106E,Speak English "very well"
B16001_107E,Speak English less than "very well"
B16001_108E,Arabic
B16001_109E,Speak English "very well"
B16001_110E,Speak English less than "very well"
B16001_111E,Hebrew
B16001_112E,Speak English "very well"
B16001_113E,Speak English less than "very well"
B16001_114E,African languages
B16001_115E,Speak English "very well"
B16001_116E,Speak English less than "very well"
B16001_117E,Other and unspecified languages
B16001_118E,Speak English "very well"
B16001_119E,Speak English less than "very well"
