acs_occ,col,depth,name
00,B24010_003,0,"Management, business, science, and arts occupations:"
0000,B24010_004,1,"Management, business, and financial occupations:"
000000,B24010_005,2,Management occupations:
00000000,B24010_006,3,Top executives
0000000000,B24010_006a,4,Top executives
00000001,B24010_007,3,"Advertising, marketing, promotions, public relations, and sales managers"
0000000100,B24010_007a,4,"Advertising, marketing, promotions, public relations, and sales managers"
00000002,B24010_008,3,Financial managers
0000000200,B24010_008a,4,Financial managers
00000003,B24010_009,3,Human resources managers
0000000300,B24010_009a,4,Human resources managers
00000004,B24010_010,3,Operations specialties managers except financial managers and human resources managers
0000000400,B24010_010a,4,Operations specialties managers except financial managers and human resources managers
00000005,B24010_011,3,"Farmers, ranchers, and other agricultural managers"
0000000500,B24010_011a,4,"Farmers, ranchers, and other agricultural managers"
00000006,B24010_012,3,"Other management occupations except farmers, ranchers, and other agricultural managers"
0000000600,B24010_012a,4,"Other management occupations except farmers, ranchers, and other agricultural managers"
000001,B24010_013,2,Business and financial operations occupations:
00000100,B24010_014,3,Human resources workers
0000010000,B24010_014a,4,Human resources workers
00000101,B24010_015,3,Other business operations specialists
0000010100,B24010_015a,4,Other business operations specialists
00000102,B24010_016,3,Financial specialists:
0000010200,B24010_017,4,Accountants and auditors
0000010201,B24010_018,4,Other financial specialists
0001,B24010_019,1,"Computer, engineering, and science occupations:"
000100,B24010_020,2,Computer and mathematical occupations:
00010000,B24010_021,3,Computer occupations:
0001000000,B24010_022,4,Computer and information research scientists and analysts
0001000001,B24010_023,4,Software developers and programmers
0001000002,B24010_024,4,Database and systems administrators and network architects
0001000003,B24010_025,4,"Miscellaneous computer occupations, including computer support specialists"
00010001,B24010_026,3,Mathematical science occupations
0001000100,B24010_026a,4,Mathematical science occupations
000101,B24010_027,2,Architecture and engineering occupations:
00010100,B24010_028,3,"Architects, surveyors, and cartographers"
0001010000,B24010_028a,4,"Architects, surveyors, and cartographers"
00010101,B24010_029,3,Engineers
0001010100,B24010_029a,4,Engineers
00010102,B24010_030,3,"Drafters, engineering, and mapping technicians"
0001010200,B24010_030a,4,"Drafters, engineering, and mapping technicians"
000102,B24010_031,2,"Life, physical, and social science occupations:"
00010200,B24010_032,3,Life and physical scientists
0001020000,B24010_032a,4,Life and physical scientists
00010201,B24010_033,3,Social scientists and related workers
0001020100,B24010_033a,4,Social scientists and related workers
00010202,B24010_034,3,"Life, physical, and social science technicians"
0001020200,B24010_034a,4,"Life, physical, and social science technicians"
0002,B24010_035,1,"Education, legal, community service, arts, and media occupations:"
000200,B24010_036,2,Community and social service occupations:
00020000,B24010_037,3,"Counselors, social workers, and other community and social service specialists"
0002000000,B24010_037a,4,"Counselors, social workers, and other community and social service specialists"
00020001,B24010_038,3,Religious workers
0002000100,B24010_038a,4,Religious workers
000201,B24010_039,2,Legal occupations:
00020100,B24010_040,3,Lawyers and judicial law clerks
0002010000,B24010_040a,4,Lawyers and judicial law clerks
00020101,B24010_041,3,"Judges, magistrates, and other judicial workers"
0002010100,B24010_041a,4,"Judges, magistrates, and other judicial workers"
00020102,B24010_042,3,Legal support workers
0002010200,B24010_042a,4,Legal support workers
000202,B24010_043,2,"Education, training, and library occupations:"
00020200,B24010_044,3,Postsecondary teachers
0002020000,B24010_044a,4,Postsecondary teachers
00020201,B24010_045,3,"Primary, secondary, and special education school teachers:"
0002020100,B24010_046,4,Preschool and kinder
0002020101,B24010_047,4,Elementary and middl
0002020102,B24010_048,4,Secondary school tea
0002020103,B24010_049,4,Special education te
00020202,B24010_050,3,"Librarians, curators, and archivists"
0002020200,B24010_050a,4,"Librarians, curators, and archivists"
00020203,B24010_051,3,"Other teachers and instructors, education, training, and library occupations"
0002020300,B24010_051a,4,"Other teachers and instructors, education, training, and library occupations"
000203,B24010_052,2,"Arts, design, entertainment, sports, and media occupations:"
00020300,B24010_053,3,Art and design workers
0002030000,B24010_053a,4,Art and design workers
00020301,B24010_054,3,"Entertainers and performers, sports, and related workers"
0002030100,B24010_054a,4,"Entertainers and performers, sports, and related workers"
00020302,B24010_055,3,Media and communication equipment workers
0002030200,B24010_055a,4,Media and communication equipment workers
0003,B24010_056,1,Healthcare practitioners and technical occupations:
000300,B24010_057,2,Health diagnosing and treating practitioners and other technical occupations:
00030000,B24010_058,3,Physicians and surgeons
0003000000,B24010_058a,4,Physicians and surgeons
00030001,B24010_059,3,Therapists
0003000100,B24010_059a,4,Therapists
00030002,B24010_060,3,Registered nurses
0003000200,B24010_060a,4,Registered nurses
00030003,B24010_061,3,"Nurses, all other"
0003000300,B24010_061a,4,"Nurses, all other"
00030004,B24010_062,3,Other health diagnosing and treating practitioners and technic
0003000400,B24010_062a,4,Other health diagnosing and treating practitioners and technic
000301,B24010_063,2,Health technologists and technicians
00030100,B24010_063a,3,Health technologists and technicians
0003010000,B24010_063b,4,Health technologists and technicians
01,B24010_064,0,Service occupations:
0100,B24010_065,1,Healthcare support occupations:
010000,B24010_066,2,"Nursing, psychiatric, and home health aides"
01000000,B24010_066a,3,"Nursing, psychiatric, and home health aides"
0100000000,B24010_066b,4,"Nursing, psychiatric, and home health aides"
010001,B24010_067,2,Occupational and physical therapist assistants and aides
01000100,B24010_067a,3,Occupational and physical therapist assistants and aides
0100010000,B24010_067b,4,Occupational and physical therapist assistants and aides
010002,B24010_068,2,Other healthcare support occupations
01000200,B24010_068a,3,Other healthcare support occupations
0100020000,B24010_068b,4,Other healthcare support occupations
0101,B24010_069,1,Protective service occupations:
010100,B24010_070,2,First-line supervisors of law enforcement workers
01010000,B24010_070a,3,First-line supervisors of law enforcement workers
0101000000,B24010_070b,4,First-line supervisors of law enforcement workers
010101,B24010_071,2,First-line supervisors of fire fighting and prevention workers
01010100,B24010_071a,3,First-line supervisors of fire fighting and prevention workers
0101010000,B24010_071b,4,First-line supervisors of fire fighting and prevention workers
010102,B24010_072,2,"First-line supervisors of protective service workers, all other"
01010200,B24010_072a,3,"First-line supervisors of protective service workers, all other"
0101020000,B24010_072b,4,"First-line supervisors of protective service workers, all other"
010103,B24010_073,2,Fire fighting and prevention workers
01010300,B24010_073a,3,Fire fighting and prevention workers
0101030000,B24010_073b,4,Fire fighting and prevention workers
010104,B24010_074,2,Law enforcement workers
01010400,B24010_074a,3,Law enforcement workers
0101040000,B24010_074b,4,Law enforcement workers
010105,B24010_075,2,Other protective service workers
01010500,B24010_075a,3,Other protective service workers
0101050000,B24010_075b,4,Other protective service workers
0102,B24010_076,1,Food preparation and serving related occupations:
010200,B24010_077,2,First-line supervisors of food preparation and serving workers
01020000,B24010_077a,3,First-line supervisors of food preparation and serving workers
0102000000,B24010_077b,4,First-line supervisors of food preparation and serving workers
010201,B24010_078,2,Cooks and food preparation workers
01020100,B24010_078a,3,Cooks and food preparation workers
0102010000,B24010_078b,4,Cooks and food preparation workers
010202,B24010_079,2,Waiters and waitresses
01020200,B24010_079a,3,Waiters and waitresses
0102020000,B24010_079b,4,Waiters and waitresses
010203,B24010_080,2,Food and beverage serving workers except waiters/waitresses
01020300,B24010_080a,3,Food and beverage serving workers except waiters/waitresses
0102030000,B24010_080b,4,Food and beverage serving workers except waiters/waitresses
010204,B24010_081,2,Other food preparation and serving related workers
01020400,B24010_081a,3,Other food preparation and serving related workers
0102040000,B24010_081b,4,Other food preparation and serving related workers
0103,B24010_082,1,Building and grounds cleaning and maintenance occupations:
010300,B24010_083,2,First-line supervisors of housekeeping and janitorial workers
01030000,B24010_083a,3,First-line supervisors of housekeeping and janitorial workers
0103000000,B24010_083b,4,First-line supervisors of housekeeping and janitorial workers
010301,B24010_084,2,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"
01030100,B24010_084a,3,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"
0103010000,B24010_084b,4,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"
010302,B24010_085,2,Building cleaning and pest control workers
01030200,B24010_085a,3,Building cleaning and pest control workers
0103020000,B24010_085b,4,Building cleaning and pest control workers
010303,B24010_086,2,Grounds maintenance workers
01030300,B24010_086a,3,Grounds maintenance workers
0103030000,B24010_086b,4,Grounds maintenance workers
0104,B24010_087,1,Personal care and service occupations:
010400,B24010_088,2,First-line supervisors of personal care and service workers
01040000,B24010_088a,3,First-line supervisors of personal care and service workers
0104000000,B24010_088b,4,First-line supervisors of personal care and service workers
010401,B24010_089,2,Personal appearance workers
01040100,B24010_089a,3,Personal appearance workers
0104010000,B24010_089b,4,Personal appearance workers
010402,B24010_090,2,"Baggage porters and concierges, and tour and travel guides"
01040200,B24010_090a,3,"Baggage porters and concierges, and tour and travel guides"
0104020000,B24010_090b,4,"Baggage porters and concierges, and tour and travel guides"
010403,B24010_091,2,Child care workers
01040300,B24010_091a,3,Child care workers
0104030000,B24010_091b,4,Child care workers
010404,B24010_092,2,"Other personal care and service workers except personal appearance, baggage porters, concierges, and child care workers"
01040400,B24010_092a,3,"Other personal care and service workers except personal appearance, baggage porters, concierges, and child care workers"
0104040000,B24010_092b,4,"Other personal care and service workers except personal appearance, baggage porters, concierges, and child care workers"
02,B24010_093,0,Sales and office occupations:
0200,B24010_094,1,Sales and related occupations:
020000,B24010_095,2,First-line supervisors of retail sales workers
02000000,B24010_095a,3,First-line supervisors of retail sales workers
0200000000,B24010_095b,4,First-line supervisors of retail sales workers
020001,B24010_096,2,First-line supervisors of non-retail sales workers
02000100,B24010_096a,3,First-line supervisors of non-retail sales workers
0200010000,B24010_096b,4,First-line supervisors of non-retail sales workers
020002,B24010_097,2,Cashiers
02000200,B24010_097a,3,Cashiers
0200020000,B24010_097b,4,Cashiers
020003,B24010_098,2,Retail sales workers except cashiers
02000300,B24010_098a,3,Retail sales workers except cashiers
0200030000,B24010_098b,4,Retail sales workers except cashiers
020004,B24010_099,2,"Sales representatives, services"
02000400,B24010_099a,3,"Sales representatives, services"
0200040000,B24010_099b,4,"Sales representatives, services"
020005,B24010_100,2,"Sales representatives, wholesale and manufacturing"
02000500,B24010_100a,3,"Sales representatives, wholesale and manufacturing"
0200050000,B24010_100b,4,"Sales representatives, wholesale and manufacturing"
020006,B24010_101,2,Other sales and related workers
02000600,B24010_101a,3,Other sales and related workers
0200060000,B24010_101b,4,Other sales and related workers
0201,B24010_102,1,Office and administrative support occupations:
020100,B24010_103,2,First-line supervisors of office and administrative support workers
02010000,B24010_103a,3,First-line supervisors of office and administrative support workers
0201000000,B24010_103b,4,First-line supervisors of office and administrative support workers
020101,B24010_104,2,Communications equipment operators
02010100,B24010_104a,3,Communications equipment operators
0201010000,B24010_104b,4,Communications equipment operators
020102,B24010_105,2,"Financial clerks except bookkeeping, accounting, and auditing clerks"
02010200,B24010_105a,3,"Financial clerks except bookkeeping, accounting, and auditing clerks"
0201020000,B24010_105b,4,"Financial clerks except bookkeeping, accounting, and auditing clerks"
020103,B24010_106,2,"Bookkeeping, accounting, and auditing clerks"
02010300,B24010_106a,3,"Bookkeeping, accounting, and auditing clerks"
0201030000,B24010_106b,4,"Bookkeeping, accounting, and auditing clerks"
020104,B24010_107,2,Information and record clerks except customer service representatives
02010400,B24010_107a,3,Information and record clerks except customer service representatives
0201040000,B24010_107b,4,Information and record clerks except customer service representatives
020105,B24010_108,2,Customer service representatives
02010500,B24010_108a,3,Customer service representatives
0201050000,B24010_108b,4,Customer service representatives
020106,B24010_109,2,"Material recording, scheduling, dispatching, and distributing workers"
02010600,B24010_109a,3,"Material recording, scheduling, dispatching, and distributing workers"
0201060000,B24010_109b,4,"Material recording, scheduling, dispatching, and distributing workers"
020107,B24010_110,2,Secretaries and administrative assistants
02010700,B24010_110a,3,Secretaries and administrative assistants
0201070000,B24010_110b,4,Secretaries and administrative assistants
020108,B24010_111,2,Other office and administrative support workers
02010800,B24010_111a,3,Other office and administrative support workers
0201080000,B24010_111b,4,Other office and administrative support workers
03,B24010_112,0,"Natural resources, construction, and maintenance occupations:"
0300,B24010_113,1,"Farming, fishing, and forestry occupations:"
030000,B24010_114,2,"First-line supervisors of farming, fishing, and forestry workers"
03000000,B24010_114a,3,"First-line supervisors of farming, fishing, and forestry workers"
0300000000,B24010_114b,4,"First-line supervisors of farming, fishing, and forestry workers"
030001,B24010_115,2,Agricultural workers
03000100,B24010_115a,3,Agricultural workers
0300010000,B24010_115b,4,Agricultural workers
030002,B24010_116,2,"Fishing and hunting, and forest, conservation, and logging workers"
03000200,B24010_116a,3,"Fishing and hunting, and forest, conservation, and logging workers"
0300020000,B24010_116b,4,"Fishing and hunting, and forest, conservation, and logging workers"
0301,B24010_117,1,Construction and extraction occupations:
030100,B24010_118,2,First-line supervisors of construction and extraction workers
03010000,B24010_118a,3,First-line supervisors of construction and extraction workers
0301000000,B24010_118b,4,First-line supervisors of construction and extraction workers
030101,B24010_119,2,Carpenters
03010100,B24010_119a,3,Carpenters
0301010000,B24010_119b,4,Carpenters
030102,B24010_120,2,Construction laborers
03010200,B24010_120a,3,Construction laborers
0301020000,B24010_120b,4,Construction laborers
030103,B24010_121,2,Electricians
03010300,B24010_121a,3,Electricians
0301030000,B24010_121b,4,Electricians
030104,B24010_122,2,Painters and paperhangers
03010400,B24010_122a,3,Painters and paperhangers
0301040000,B24010_122b,4,Painters and paperhangers
030105,B24010_123,2,"Pipelayers, plumbers, pipefitters, and steamfitters"
03010500,B24010_123a,3,"Pipelayers, plumbers, pipefitters, and steamfitters"
0301050000,B24010_123b,4,"Pipelayers, plumbers, pipefitters, and steamfitters"
030106,B24010_124,2,"Construction trades workers except carpenters, electricians, painters, plumbers, and construction laborers"
03010600,B24010_124a,3,"Construction trades workers except carpenters, electricians, painters, plumbers, and construction laborers"
0301060000,B24010_124b,4,"Construction trades workers except carpenters, electricians, painters, plumbers, and construction laborers"
030107,B24010_125,2,Other construction workers and helpers
03010700,B24010_125a,3,Other construction workers and helpers
0301070000,B24010_125b,4,Other construction workers and helpers
030108,B24010_126,2,Extraction workers
03010800,B24010_126a,3,Extraction workers
0301080000,B24010_126b,4,Extraction workers
0302,B24010_127,1,"Installation, maintenance, and repair occupations:"
030200,B24010_128,2,"First-line supervisors of mechanics, installers, and repairers"
03020000,B24010_128a,3,"First-line supervisors of mechanics, installers, and repairers"
0302000000,B24010_128b,4,"First-line supervisors of mechanics, installers, and repairers"
030201,B24010_129,2,"Vehicle and mobile equipment mechanics, installers, and repairers"
03020100,B24010_129a,3,"Vehicle and mobile equipment mechanics, installers, and repairers"
0302010000,B24010_129b,4,"Vehicle and mobile equipment mechanics, installers, and repairers"
030202,B24010_130,2,"Other installation, maintenance, and repair occupations including electrical and electronic equipment mechanics, installers, and repa"
03020200,B24010_130a,3,"Other installation, maintenance, and repair occupations including electrical and electronic equipment mechanics, installers, and repa"
0302020000,B24010_130b,4,"Other installation, maintenance, and repair occupations including electrical and electronic equipment mechanics, installers, and repa"
04,B24010_131,0,"Production, transportation, and material moving occupations:"
0400,B24010_132,1,Production occupations:
040000,B24010_133,2,First-line supervisors of production and operating workers
04000000,B24010_133a,3,First-line supervisors of production and operating workers
0400000000,B24010_133b,4,First-line supervisors of production and operating workers
040001,B24010_134,2,Assemblers and fabricators
04000100,B24010_134a,3,Assemblers and fabricators
0400010000,B24010_134b,4,Assemblers and fabricators
040002,B24010_135,2,Food processing workers
04000200,B24010_135a,3,Food processing workers
0400020000,B24010_135b,4,Food processing workers
040003,B24010_136,2,Metal workers and plastic workers
04000300,B24010_136a,3,Metal workers and plastic workers
0400030000,B24010_136b,4,Metal workers and plastic workers
040004,B24010_137,2,Printing workers
04000400,B24010_137a,3,Printing workers
0400040000,B24010_137b,4,Printing workers
040005,B24010_138,2,"Textile, apparel, and furnishings workers"
04000500,B24010_138a,3,"Textile, apparel, and furnishings workers"
0400050000,B24010_138b,4,"Textile, apparel, and furnishings workers"
040006,B24010_139,2,Woodworkers
04000600,B24010_139a,3,Woodworkers
0400060000,B24010_139b,4,Woodworkers
040007,B24010_140,2,Plant and system operators
04000700,B24010_140a,3,Plant and system operators
0400070000,B24010_140b,4,Plant and system operators
040008,B24010_141,2,Other production occupations
04000800,B24010_141a,3,Other production occupations
0400080000,B24010_141b,4,Other production occupations
0401,B24010_142,1,Transportation occupations:
040100,B24010_143,2,Supervisors of transportation and material moving workers
04010000,B24010_143a,3,Supervisors of transportation and material moving workers
0401000000,B24010_143b,4,Supervisors of transportation and material moving workers
040101,B24010_144,2,Air transportation workers
04010100,B24010_144a,3,Air transportation workers
0401010000,B24010_144b,4,Air transportation workers
040102,B24010_145,2,Rail and water transportation workers
04010200,B24010_145a,3,Rail and water transportation workers
0401020000,B24010_145b,4,Rail and water transportation workers
040103,B24010_146,2,Bus drivers
04010300,B24010_146a,3,Bus drivers
0401030000,B24010_146b,4,Bus drivers
040104,B24010_147,2,Driver/sales workers and truck drivers
04010400,B24010_147a,3,Driver/sales workers and truck drivers
0401040000,B24010_147b,4,Driver/sales workers and truck drivers
040105,B24010_148,2,Motor vehicle operators except bus and truck drivers
04010500,B24010_148a,3,Motor vehicle operators except bus and truck drivers
0401050000,B24010_148b,4,Motor vehicle operators except bus and truck drivers
040106,B24010_149,2,Other transportation workers
04010600,B24010_149a,3,Other transportation workers
0401060000,B24010_149b,4,Other transportation workers
0402,B24010_150,1,Material moving occupations:
040200,B24010_151,2,"Laborers and material movers, hand"
04020000,B24010_151a,3,"Laborers and material movers, hand"
0402000000,B24010_151b,4,"Laborers and material movers, hand"
040201,B24010_152,2,"Material moving workers except supervisors and laborers and material movers, hand"
04020100,B24010_152a,3,"Material moving workers except supervisors and laborers and material movers, hand"
0402010000,B24010_152b,4,"Material moving workers except supervisors and laborers and material movers, hand"
