acs_occ,col,depth,name
00,C24010_003,0,"Management, business, science, and arts occupations:"
0000,C24010_004,1,"Management, business, and financial occupations:"
000000,C24010_005,2,Management occupations
00000000,C24010_005a,3,Management occupations
0000000000,C24010_005b,4,Management occupations
000001,C24010_006,2,Business and financial operations occupations
00000100,C24010_006a,3,Business and financial operations occupations
0000010000,C24010_006b,4,Business and financial operations occupations
0001,C24010_007,1,"Computer, engineering, and science occupations:"
000100,C24010_008,2,Computer and mathematical occupations
00010000,C24010_008a,3,Computer and mathematical occupations
0001000000,C24010_008b,4,Computer and mathematical occupations
000101,C24010_009,2,Architecture and engineering occupations
00010100,C24010_009a,3,Architecture and engineering occupations
0001010000,C24010_009b,4,Architecture and engineering occupations
000102,C24010_010,2,"Life, physical, and social science occupations"
00010200,C24010_010a,3,"Life, physical, and social science occupations"
0001020000,C24010_010b,4,"Life, physical, and social science occupations"
0002,C24010_011,1,"Education, legal, community service, arts, and media occupations:"
000200,C24010_012,2,Community and social service occupations
00020000,C24010_012a,3,Community and social service occupations
0002000000,C24010_012b,4,Community and social service occupations
000201,C24010_013,2,Legal occupations
00020100,C24010_013a,3,Legal occupations
0002010000,C24010_013b,4,Legal occupations
000202,C24010_014,2,"Education, training, and library occupations"
00020200,C24010_014a,3,"Education, training, and library occupations"
0002020000,C24010_014b,4,"Education, training, and library occupations"
000203,C24010_015,2,"Arts, design, entertainment, sports, and media occupations"
00020300,C24010_015a,3,"Arts, design, entertainment, sports, and media occupations"
0002030000,C24010_015b,4,"Arts, design, entertainment, sports, and media occupations"
0003,C24010_016,1,Healthcare practitioners and technical occupations:
000300,C24010_017,2,Health diagnosing and treating practitioners and other technical occupations
00030000,C24010_017a,3,Health diagnosing and treating practitioners and other technical occupations
0003000000,C24010_017b,4,Health diagnosing and treating practitioners and other technical occupations
000301,C24010_018,2,Health technologists and technicians
00030100,C24010_018a,3,Health technologists and technicians
0003010000,C24010_018b,4,Health technologists and technicians
01,C24010_019,0,Service occupations:
0100,C24010_020,1,Healthcare support occupations
010000,C24010_020a,2,Healthcare support occupations
01000000,C24010_020b,3,Healthcare support occupations
0100000000,C24010_020c,4,Healthcare support occupations
0101,C24010_021,1,Protective service occupations:
010100,C24010_022,2,"Fire fighting and prevention, and other protective service workers including supervisors"
01010000,C24010_022a,3,"Fire fighting and prevention, and other protective service workers including supervisors"
0101000000,C24010_022b,4,"Fire fighting and prevention, and other protective service workers including supervisors"
010101,C24010_023,2,Law enforcement workers including supervisors
01010100,C24010_023a,3,Law enforcement workers including supervisors
0101010000,C24010_023b,4,Law enforcement workers including supervisors
0102,C24010_024,1,Food preparation and serving related occupations
010200,C24010_024a,2,Food preparation and serving related occupations
01020000,C24010_024b,3,Food preparation and serving related occupations
0102000000,C24010_024c,4,Food preparation and serving related occupations
0103,C24010_025,1,Building and grounds cleaning and maintenance occupations
010300,C24010_025a,2,Building and grounds cleaning and maintenance occupations
01030000,C24010_025b,3,Building and grounds cleaning and maintenance occupations
0103000000,C24010_025c,4,Building and grounds cleaning and maintenance occupations
0104,C24010_026,1,Personal care and service occupations
010400,C24010_026a,2,Personal care and service occupations
01040000,C24010_026b,3,Personal care and service occupations
0104000000,C24010_026c,4,Personal care and service occupations
02,C24010_027,0,Sales and office occupations:
0200,C24010_028,1,Sales and related occupations
020000,C24010_028a,2,Sales and related occupations
02000000,C24010_028b,3,Sales and related occupations
0200000000,C24010_028c,4,Sales and related occupations
0201,C24010_029,1,Office and administrative support occupations
020100,C24010_029a,2,Office and administrative support occupations
02010000,C24010_029b,3,Office and administrative support occupations
0201000000,C24010_029c,4,Office and administrative support occupations
03,C24010_030,0,"Natural resources, construction, and maintenance occupations:"
0300,C24010_031,1,"Farming, fishing, and forestry occupations"
030000,C24010_031a,2,"Farming, fishing, and forestry occupations"
03000000,C24010_031b,3,"Farming, fishing, and forestry occupations"
0300000000,C24010_031c,4,"Farming, fishing, and forestry occupations"
0301,C24010_032,1,Construction and extraction occupations
030100,C24010_032a,2,Construction and extraction occupations
03010000,C24010_032b,3,Construction and extraction occupations
0301000000,C24010_032c,4,Construction and extraction occupations
0302,C24010_033,1,"Installation, maintenance, and repair occupations"
030200,C24010_033a,2,"Installation, maintenance, and repair occupations"
03020000,C24010_033b,3,"Installation, maintenance, and repair occupations"
0302000000,C24010_033c,4,"Installation, maintenance, and repair occupations"
04,C24010_034,0,"Production, transportation, and material moving occupations:"
0400,C24010_035,1,Production occupations
040000,C24010_035a,2,Production occupations
04000000,C24010_035b,3,Production occupations
0400000000,C24010_035c,4,Production occupations
0401,C24010_036,1,Transportation occupations
040100,C24010_036a,2,Transportation occupations
04010000,C24010_036b,3,Transportation occupations
0401000000,C24010_036c,4,Transportation occupations
0402,C24010_037,1,Material moving occupations
040200,C24010_037a,2,Material moving occupations
04020000,C24010_037b,3,Material moving occupations
0402000000,C24010_037c,4,Material moving occupations
